Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,77.35,-67,90,top
C3,100nF,C_0603_1608Metric,60,-40.5,90,top
C4,470uF,CP_Elec_8x10.5,52,-45,90,top
C5,100nF,C_0603_1608Metric,109.2,-37.0625,270,top
C10,10uF,C_0603_1608Metric,58,-40.5,90,top
D1,RED_LED,LED_0805_2012Metric,55,-57.5,90,top
D2,GREEN_LED,LED_0805_2012Metric,58.25,-57.5,90,top
J2,Molex PicoFlex 90814,Molex_Picoflex_90814-0004_2x02_P1.27mm_Vertical,89,-83.5,90,top
J3,Molex PicoFlex 90814,Molex_Picoflex_90814-0004_2x02_P1.27mm_Vertical,103,-83.5,90,top
JP1,SolderJumper,R_0201_0603Metric,111.18,-50,180,top
Q1,"PMV48XP,215",SOT-23,61,-70,0,top
Q2,"PMV48XP,215 ",SOT-23,56.45,-63.6,90,top
R1,100R,R_0805_2012Metric,56.25,-69.5,0,top
R2,10K,R_0603_1608Metric,77.3,-70.85,90,top
R3,1K,R_0603_1608Metric,55,-53.5,270,top
R4,1K,R_0603_1608Metric,58.25,-53.5,270,top
R6,10k,R_0603_1608Metric,103.6,-49.4,270,top
R7,10k,R_0603_1608Metric,100.4,-41.4,90,top
R8,4k7,R_0603_1608Metric,81,-81.5,270,top
R10,10k,R_0603_1608Metric,52.75,-62,0,top
SW1,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,71.95,-65.95,90,top
SW2,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,71.95,-78.55,90,top
SW3,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,105.05,-73.55,0,top
U1,ESP32-WROOM-32D,ESP32-WROOM-32,71,-48,0,top
U2,Si7051-A20,DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm,115.2,-36.8,180,top
U3,DS18B20Z,SOIC-8_3.9x4.9mm_P1.27mm,108.4,-103,0,top
U4,DS18B20Z,SOIC-8_3.9x4.9mm_P1.27mm,70,-102.8,0,top
